"id";"comicID";"characterID"
1;16232;1009220
2;16232;1010740
3;16248;1009220
4;16248;1009471
5;16248;1009552
6;16248;1009228
7;21486;1011109
8;58634;1010808
9;58634;1009515
10;16241;1009220
11;16241;1009252
12;16241;1009535
13;16241;1010899
14;21479;1011109
15;21468;1011010
16;15808;1011010
17;17486;1009175
18;17486;1009243
19;17486;1009257
20;17486;1009310
21;17486;1009508
22;17486;1009718
23;17486;1009726
24;16234;1009220
25;16234;1009535
26;16234;1010740
27;21461;1011010
28;10511;1009359
29;10511;1009454
30;10511;1009610
31;21481;1011109
32;21470;1011010
33;27238;1009368
34;27238;1009718
35;16236;1009220
36;16236;1009252
37;16236;1009228
38;16236;1010898
39;21474;1011109
40;21463;1011010
41;71251;1010676
42;71251;1010682
43;71267;1009367
44;69098;1009268
45;69098;1009270
46;69098;1009313
47;69098;1009363
48;69098;1009546
49;62124;1010338
50;69097;1009268
51;69097;1009313
52;69097;1009546
53;69097;1009726
54;68868;1009378
55;68868;1009215
56;67842;1011197
57;67842;1011426
58;70092;1009277
59;70092;1009393
60;70092;1009482
61;70092;1009554
62;70092;1009705
63;70092;1009709
64;70269;1009283
65;70269;1009299
66;70269;1009312
67;70269;1009365
68;70269;1009592
69;70269;1009599
70;68147;1009268
71;71379;1009508
72;67717;1009168
73;67717;1009175
74;67717;1009243
75;67717;1009267
76;67717;1009337
77;67717;1009705
78;67717;1009726
79;70259;1009726
80;69019;1017577
81;69019;1010860
82;67135;1009351
83;67135;1009560
84;67950;1017438
85;67950;1010338
86;67950;1010805
87;67950;1009599
88;67950;1010761
89;67703;1010801
90;67725;1009505
91;67725;1009512
92;67725;1009726
93;70236;1009508
94;70236;1009472
95;70236;1009430
96;70236;1009629
97;70236;1009726
98;70224;1009733
99;70224;1009327
100;70224;1009726
101;69381;1009281
102;69381;1009466
103;69381;1009644
104;69381;1010740
105;67145;1009282
106;67145;1010733
107;68000;1009241
108;68000;1009258
109;68252;1009365
110;68608;1011385
111;68608;1009262
112;68608;1010682
113;68957;1009664
114;67919;1009220
115;68111;1009262
116;70158;1009625
117;70158;1009722
118;67349;1010354
119;67349;1009282
120;67349;1009407
121;67349;1009652
122;60892;1009726
123;42257;1009552
124;68148;1009268
125;67173;1009356
126;67173;1009662
127;69433;1009599
128;69096;1009313
129;69096;1009546
130;69096;1009726
131;69853;1009368
132;69853;1009515
133;68600;1009277
134;68600;1009381
135;68600;1009508
136;68600;1009718
137;70051;1010787
138;67633;1009404
139;67633;1009610
140;69467;1009609
141;70208;1009726
142;68094;1009262
143;70196;1009726
144;69343;1009571
145;70219;1009204
146;70219;1009310
147;70219;1009417
148;70219;1009726
149;67593;1013483
150;67593;1009629
151;67593;1009726
152;69435;1009599
153;69079;1017583
154;69079;1017583
155;69435;1009599
156;73710;1017577
157;73710;1009718
158;68936;1009356
159;70235;1009243
160;70235;1009508
161;70235;1009472
162;70235;1009430
163;70235;1009629
164;70235;1009726
165;69925;1009407
166;69925;1009664
167;70943;1009299
168;70943;1009332
169;70945;1009299
170;69491;1009268
171;69491;1009610
172;67210;1009297
173;69497;1009268
174;69497;1009610
175;68787;1009399
176;68747;1009378
177;67762;1009165
178;67762;1010813
