"characterID";"name"
1009144;"A.I.M."
1009146;"Abomination (Emil Blonsky)"
1009148;"Absorbing Man"
1009149;"Abyss"
1009150;"Agent Zero"
1009151;"Amiko"
1009152;"Ancient One"
1009153;"Angel (Warren Worthington III)"
1009154;"Annihilus"
1009156;"Apocalypse"
1009157;"Spider-Girl (Anya Corazon)"
1009158;"Arcade"
1009159;"Archangel"
1009160;"Arclight"
1009163;"Aurora"
1009164;"Avalanche"
1009165;"Avengers"
1009167;"Bruce Banner"
1009168;"Banshee"
1009169;"Baron Strucker"
1009170;"Baron Zemo (Heinrich Zemo)"
1009171;"Bastion"
1009172;"Batroc the Leaper"
1009173;"Battering Ram"
1009174;"Beak"
1009175;"Beast"
1009177;"Bedlam"
1009178;"Beef"
1009179;"Beetle (Abner Jenkins)"
1009180;"Beta-Ray Bill"
1009181;"Big Wheel"
1009182;"Bishop"
1009184;"Black Bolt"
1009185;"Black Cat"
1009186;"Black Knight (Sir Percy of Scandia)"
1009187;"Black Panther"
1009188;"Black Tom"
1009189;"Black Widow"
1009190;"Blackheart"
1009191;"Blade"
1009195;"Blastaar"
1009196;"Johnny Blaze"
1009197;"Blink"
1009198;"Blizzard"
1009199;"Blob"
1009200;"Blockbuster"
1009201;"Blok"
1009202;"Bloke"
1009203;"Bloodscream"
1009204;"Bloodstorm"
1009205;"Boomer"
1009206;"Box"
1009207;"GW Bridge"
1009208;"Brood"
1009209;"Brotherhood of Evil Mutants"
1009210;"Brute"
1009211;"Bucky"
1009212;"Bullseye"
1009213;"Bushwacker"
1009214;"Cable"
1009215;"Luke Cage"
1009216;"Caliban"
1009217;"Callisto"
1009218;"Calypso"
1009219;"Cannonball"
1009220;"Captain America"
1009223;"Captain Britain"
1009224;"Captain Marvel (Mar-Vell)"
1009225;"Captain Stacy"
1009226;"Cargill"
1009227;"Carnage"
1009228;"Sharon Carter"
1009229;"Frank Castle"
1009230;"Catseye"
1009231;"Cerebro"
1009232;"Ch'od"
1009233;"Chamber"
1009234;"Chameleon"
1009236;"Lila Cheney"
1009237;"Chimera"
1009238;"Chronomancer"
1009239;"Clea"
1009241;"Cloak"
1009242;"Malcolm Colcord"
1009243;"Colossus"
1009244;"Curt Conners"
1009245;"Constrictor"
1009247;"Corsair"
1009248;"Fabian Cortez"
1009249;"Count Nefaria"
1009250;"Countess"
1009251;"Crimson Dynamo"
1009252;"Crossbones"
1009253;"Crule"
1009254;"Crusher Hogan"
1009255;"Crystal"
1009256;"Cyber"
1009257;"Cyclops"
1009258;"Dagger"
1009259;"Damage Control"
1009260;"Lorna Dane"
1009261;"Carol Danvers"
1009262;"Daredevil"
1009265;"Dark Phoenix"
1009266;"Darkstar"
1009267;"Dazzler"
1009268;"Deadpool"
1009269;"Death"
1009270;"Deathbird"
1009271;"Destiny"
1009272;"Detective Soap"
1009273;"Diablo"
1009274;"Diamondback (Rachel Leighton)"
1009275;"Doc Samson"
1009276;"Doctor Octopus"
1009277;"Domino"
1009278;"Doomsday Man"
1009279;"Doop"
1009280;"Dormammu"
1009281;"Doctor Doom"
1009282;"Doctor Strange"
1009283;"Dragon Man"
1009284;"Dum Dum Dugan"
1009285;"Dust"
1009286;"Earthquake"
1009287;"Electro"
1009288;"Elektra"
1009290;"Elite"
1009291;"Empath"
1009292;"Emplate"
1009293;"Erik the Red"
1009294;"Exiles"
1009295;"Exodus"
1009297;"Falcon"
1009298;"Famine"
1009299;"Fantastic Four"
1009301;"Fantomex"
1009302;"Fenris"
1009303;"Fin Fang Foom"
1009304;"Firebrand"
1009305;"Firelord"
1009306;"Firestar"
1009307;"Force Works"
1009308;"Forearm"
1009309;"Forge"
1009310;"Emma Frost"
1009311;"Rumiko Fujikawa"
1009312;"Galactus"
1009313;"Gambit"
1009315;"Gateway"
1009316;"Gauntlet (Joseph Green)"
1009317;"Genesis"
1009318;"Ghost Rider (Johnny Blaze)"
1009320;"Giant Man"
1009321;"Gladiator (Kallark)"
1009322;"Goblin Queen"
1009324;"Gorgon"
1009325;"Norman Osborn"
1009327;"Jean Grey"
1009328;"Grim Reaper"
1009329;"Ben Grimm"
1009330;"Guardian"
1009332;"H.E.R.B.I.E."
1009334;"Hammerhead"
1009335;"Felicia Hardy"
1009336;"Harpoon"
1009337;"Havok"
1009338;"Hawkeye"
1009340;"Hellfire Club"
1009341;"Hemingway"
1009342;"Hepzibah"
1009343;"Hercules"
1009345;"Hitman"
1009347;"Hobgoblin (Roderick Kingsley)"
1009348;"Happy Hogan"
1009349;"Holocaust (Age of Apocalypse)"
1009351;"Hulk"
1009355;"Hulkling"
1009356;"Human Torch"
1009357;"Husk"
1009358;"Hussar"
1009359;"Hydra"
1009360;"Hydro-Man"
1009361;"Hyperion (Earth-712)"
1009362;"Iceman"
1009363;"Imperial Guard"
1009364;"Impossible Man"
1009365;"Inhumans"
1009366;"Invisible Woman"
1009367;"Iron Fist (Danny Rand)"
1009368;"Iron Man"
1009372;"J. Jonah Jameson"
1009373;"Jetstream"
1009374;"Jigsaw"
1009376;"Jocasta"
1009378;"Jessica Jones"
1009379;"Rick Jones"
1009380;"Joseph"
1009381;"Jubilee"
1009382;"Juggernaut"
1009383;"Garrison Kane"
1009384;"Kang"
1009385;"Karnak"
1009387;"Quentin Quire"
1009388;"King Bedlam"
1009389;"Kingpin"
1009390;"Klaw"
1009391;"Kraven the Hunter"
1009392;"La Nuit"
1009393;"Lady Deathstrike"
1009397;"Lava-Man"
1009398;"Leader"
1009399;"Legion"
1009401;"Lifeguard"
1009402;"Lilandra"
1009403;"Liz Osborn"
1009404;"Lizard"
1009405;"Lockheed"
1009406;"Lockjaw"
1009407;"Loki"
1009408;"Longshot"
1009410;"Moira MacTaggert"
1009411;"Mad Thinker"
1009412;"Madame Hydra"
1009413;"Madrox"
1009414;"Maggott"
1009415;"Magik (Illyana Rasputin)"
